编号,记录ID,投放ID,人群ID,人群名称,多选题,单选题,单选题,单选题,单选题,多选题,多选题,单选题,多选题,多选题,排序题,单选题,单选题,单选题,单选矩阵题,单选矩阵题,多选题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选题,多行文本题,单选题,单选题,单选题,单选题,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
10,是,88898467,726476,1024659,"手机贴膜,手机充电线/数据线,无线蓝牙耳机,洗衣液/洗衣凝珠,薯片/膨化食品,奶茶/咖啡,平板电脑保护套/壳,T恤/裙子,运动鞋,室内绿植/花卉,洗面奶/洁面乳,手机壳,贴片面膜,充电宝/移动电源,抽纸/卷纸,智能手表/手环,平板电脑,桌面收纳,鼠标/机械键盘",近12个月内,100–119元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,磁吸不可拆分保护套,"支架稳定/角度好用,防摔防磕/保护性强,材质手感好,不易沾指纹/不易显脏,品牌可信/品质稳定,外观好看/有设计感","防摔防磕/保护性强,品牌可信/品质稳定,材质手感好,外观好看/有设计感,支架稳定/角度好用,不易沾指纹/不易显脏",100-119元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"磁吸拆分方便,可旋转使用,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付6-10元,肯定会购买,肯定会购买,可能会购买,-,-,有一些不太重要,我已认真阅读,购买意愿: [肯定会购买],相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引];微磨砂质感: [非常吸引];光栅纹理背板的视觉效果: [非常吸引],愿意多付6-10元,肯定会购买,可能会购买,说不清,-,-,并没有那么重要,8.53s,两款都可以，没有明显偏好,两款的功能都差不多,经常会,女,31-35岁,专业人士,二线,中等,未知,江苏省,无锡市
11,是,88898477,726476,1024659,"充电宝/移动电源,手机充电线/数据线,平板电脑保护套/壳,平板电脑,抽纸/卷纸,无线蓝牙耳机,手机壳,T恤/裙子,运动鞋,薯片/膨化食品,奶茶/咖啡,洗衣液/洗衣凝珠,手机贴膜,智能手表/手环,洗面奶/洁面乳",近12个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,教育/培训/科研,均未参加过,本科,磁吸不可拆分保护套,"防摔防磕/保护性强,支架稳定/角度好用,耐用不易坏,价格合适/性价比高","防摔防磕/保护性强,耐用不易坏,价格合适/性价比高,支架稳定/角度好用",50-79元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,保护性较好,支撑看剧/学习/办公",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,可能会购买,可能不会购买,-,-,-,价格不是我最想要的,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,可能不会购买,-,-,可能不会购买,可能不会购买,还是有点贵了,7.55s,升级光面款,外观好看,有时会,女,25-30岁,企业职员,二线,中等,"准备结婚期,育婴期,已育",广东省,佛山市
12,是,88898482,726476,1024659,"奶茶/咖啡,洗衣液/洗衣凝珠,充电宝/移动电源,智能手表/手环,手机充电线/数据线,手机壳,桌面收纳,贴片面膜,无线蓝牙耳机,手机贴膜,运动鞋,T恤/裙子,平板电脑,洗面奶/洁面乳,抽纸/卷纸,薯片/膨化食品,平板电脑保护套/壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"透明/半透明保护壳,单壳（不带盖板）保护套,普通翻盖保护套","不易沾指纹/不易显脏,轻薄便携,与平板搭配协调,耐用不易坏,品牌可信/品质稳定,触控笔收纳和拿取方便,防摔防磕/保护性强,支架稳定/角度好用","品牌可信/品质稳定,不易沾指纹/不易显脏,触控笔收纳和拿取方便,轻薄便携,支架稳定/角度好用,防摔防磕/保护性强,与平板搭配协调,耐用不易坏",120-149元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,价格合适,外观看起来简洁,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付16-20元,肯定会购买,肯定会购买,可能会购买,-,-,各方面都符合我的需求，价钱也在接受范围。,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付21元及以上,肯定会购买,肯定会购买,可能会购买,-,-,各方面都符合需求，愿意多付钱的原因是防指纹。,78.25s,光栅款,更喜欢防指纹的，防指纹的更值得加钱价钱贵一点也无所谓。,经常会,女,25-30岁,自由职业/个体经营,六线,高,"已婚,育婴期,已育,已有车",广东省,云浮市
13,是,88898497,726476,1024659,"洗衣液/洗衣凝珠,运动鞋,充电宝/移动电源,T恤/裙子,手机贴膜,薯片/膨化食品,奶茶/咖啡,无线蓝牙耳机,手机充电线/数据线,智能手表/手环,抽纸/卷纸,室内绿植/花卉,平板电脑保护套/壳,鼠标/机械键盘,平板电脑,手机壳,洗面奶/洁面乳,贴片面膜",近12个月内,150–199元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"旋转可拆分磁吸保护套,键盘保护套","防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,轻薄便携,颜色选择丰富,价格合适/性价比高,与平板搭配协调,材质手感好","轻薄便携,与平板搭配协调,价格合适/性价比高,支架稳定/角度好用,防摔防磕/保护性强,触控笔收纳和拿取方便,材质手感好,颜色选择丰富",150-199元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"磁吸拆分方便,支撑看剧/学习/办公,外观看起来简洁,保护性较好,可旋转使用",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付11-15元,可能会购买,肯定会购买,可能会购买,-,-,颜色简洁一点即可，不必为了颜色多花钱。,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,肯定会购买,-,-,四个角加了保护。,13.36s,升级光面款,喜欢简约的款式。,有时会,女,31-35岁,自由职业/个体经营,二线,中等,"已婚,育婴期,已育,已有房,已有车",广东省,佛山市
14,是,88898514,726476,1024659,"手机壳,薯片/膨化食品,抽纸/卷纸,手机充电线/数据线,充电宝/移动电源,智能手表/手环,鼠标/机械键盘,洗衣液/洗衣凝珠,贴片面膜,无线蓝牙耳机,室内绿植/花卉,平板电脑,平板电脑保护套/壳,手机贴膜,T恤/裙子,洗面奶/洁面乳,运动鞋,桌面收纳",近12个月内,120–149元,主要由我自己决定，偶尔参考他人意见,Apple（苹果）,以上均无,均未参加过,本科,"磁吸不可拆分保护套,旋转可拆分磁吸保护套","防摔防磕/保护性强,触控笔收纳和拿取方便,不易沾指纹/不易显脏,颜色选择丰富,品牌可信/品质稳定,耐用不易坏","品牌可信/品质稳定,耐用不易坏,不易沾指纹/不易显脏,防摔防磕/保护性强,颜色选择丰富,触控笔收纳和拿取方便",120-149元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [非常吸引],"外观看起来简洁,品牌/品质感较好,磁吸拆分方便",我已认真阅读,购买意愿: [说不清],四角气囊防护外显: [一般];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,可能不会购买,-,-,可能会购买,-,款式吸引人,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [一般];相比普通光面背板更不易沾指纹: [一般];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,可能不会购买,-,-,可能不会购买,可能会购买,款式不好看,12.24s,两款都可以，没有明显偏好,外观颜色,经常会,女,36-40岁,自由职业/个体经营,三线,低,未知,浙江省,金华市
15,是,88898515,726476,1024659,"贴片面膜,洗面奶/洁面乳,洗衣液/洗衣凝珠,桌面收纳,智能手表/手环,手机壳,室内绿植/花卉,抽纸/卷纸,T恤/裙子,奶茶/咖啡,平板电脑保护套/壳,充电宝/移动电源,手机贴膜,无线蓝牙耳机,手机充电线/数据线,平板电脑,薯片/膨化食品,运动鞋",近13-24个月内,100–119元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"旋转可拆分磁吸保护套,带笔槽保护套,单壳（不带盖板）保护套,键盘保护套","防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,品牌可信/品质稳定,与平板搭配协调","与平板搭配协调,支架稳定/角度好用,品牌可信/品质稳定,防摔防磕/保护性强,触控笔收纳和拿取方便",100-119元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,品牌/品质感较好,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,肯定会购买,可能会购买,可能会购买,-,-,物超所值，非常有科技感，适合时下年轻人,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];微磨砂质感: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,肯定会购买,肯定会购买,肯定会购买,-,-,高端大气上档次，有科技感，非常有吸引力,98.86s,升级光面款,配色好看，有高端感，让人非常想购买。,经常会,女,31-35岁,自由职业/个体经营,三线,低,"准备结婚期,育婴期,已育",广东省,中山市
16,是,88898520,726476,1024659,"手机贴膜,T恤/裙子,平板电脑保护套/壳,抽纸/卷纸,室内绿植/花卉,奶茶/咖啡,手机壳,洗面奶/洁面乳,贴片面膜,智能手表/手环,鼠标/机械键盘,薯片/膨化食品,运动鞋,充电宝/移动电源,无线蓝牙耳机,洗衣液/洗衣凝珠,平板电脑",近12个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,"键盘保护套,带笔槽保护套,旋转可拆分磁吸保护套,透明/半透明保护壳","触控笔收纳和拿取方便,外观好看/有设计感,轻薄便携,品牌可信/品质稳定,与平板搭配协调,防摔防磕/保护性强,支架稳定/角度好用","外观好看/有设计感,防摔防磕/保护性强,支架稳定/角度好用,轻薄便携,品牌可信/品质稳定,触控笔收纳和拿取方便,与平板搭配协调",50-79元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,外观看起来简洁,保护性较好,支撑看剧/学习/办公",我已认真阅读,购买意愿: [可能会购买],更丰富、更个性化的配色选择: [比较吸引];四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,可能会购买,-,-,防护性更好，配色更丰富，使用体验更方便,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付11-15元,可能会购买,可能会购买,可能会购买,-,-,外观设计更好看，比之前其他款式特别,15.81s,光栅款,更不容易沾指纹，日常使用更美观,有时会,女,25-30岁,专业人士,三线,低,"已婚,育婴期,已有房,已有车",山东省,潍坊市
17,是,88898521,726476,1024659,"室内绿植/花卉,贴片面膜,手机充电线/数据线,鼠标/机械键盘,洗衣液/洗衣凝珠,平板电脑,手机贴膜,薯片/膨化食品,手机壳,无线蓝牙耳机,平板电脑保护套/壳,桌面收纳,奶茶/咖啡,智能手表/手环,运动鞋,T恤/裙子,充电宝/移动电源,抽纸/卷纸,洗面奶/洁面乳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,磁吸不可拆分保护套,带笔槽保护套","触控笔收纳和拿取方便,颜色选择丰富,支架稳定/角度好用,外观好看/有设计感,防摔防磕/保护性强,轻薄便携,与平板搭配协调,品牌可信/品质稳定,耐用不易坏","触控笔收纳和拿取方便,颜色选择丰富,品牌可信/品质稳定,耐用不易坏,防摔防磕/保护性强,与平板搭配协调,支架稳定/角度好用,外观好看/有设计感,轻薄便携",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,支撑看剧/学习/办公,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付16-20元,肯定会购买,可能会购买,可能会购买,-,-,超出预算了,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,可能会购买,说不清,-,-,-,太贵了,12.12s,光栅款,很有吸引力,经常会,女,25-30岁,其他,一线,低,未知,北京,北京市
18,是,88898523,726476,1024659,"平板电脑保护套/壳,手机壳,充电宝/移动电源,手机贴膜,手机充电线/数据线",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,教育/培训/科研,均未参加过,本科,旋转可拆分磁吸保护套,"防摔防磕/保护性强,触控笔收纳和拿取方便,外观好看/有设计感,轻薄便携,价格合适/性价比高","价格合适/性价比高,防摔防磕/保护性强,轻薄便携,触控笔收纳和拿取方便,外观好看/有设计感",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"磁吸拆分方便,可旋转使用,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,可能会购买,-,-,愿意,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,可能会购买,可能会购买,可能会购买,-,-,质感好，防指纹用处多,31.77s,光栅款,价格比较合理，不易打滑，不沾手，更有质感,经常会,女,31-35岁,专业人士,四线,低,未知,河南省,焦作市
19,是,88898524,726476,1024659,"手机贴膜,手机壳,抽纸/卷纸,无线蓝牙耳机,手机充电线/数据线,充电宝/移动电源,奶茶/咖啡,智能手表/手环,贴片面膜,薯片/膨化食品,洗衣液/洗衣凝珠,鼠标/机械键盘,平板电脑,T恤/裙子,洗面奶/洁面乳,运动鞋,室内绿植/花卉,桌面收纳,平板电脑保护套/壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,磁吸不可拆分保护套,"防摔防磕/保护性强,支架稳定/角度好用,轻薄便携,颜色选择丰富,与平板搭配协调","与平板搭配协调,防摔防磕/保护性强,颜色选择丰富,轻薄便携,支架稳定/角度好用",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,价格合适,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,可能会购买,-,-,外观好看,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,肯定会购买,肯定会购买,可能会购买,-,-,比较实用,7.76s,光栅款,功能更加强大,经常会,女,25-30岁,企业职员,二线,偏低,未知,辽宁省,沈阳市
20,是,88898533,726476,1024659,"平板电脑保护套/壳,平板电脑,手机贴膜,手机充电线/数据线,充电宝/移动电源,手机壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,普通翻盖保护套,透明/半透明保护壳","不易沾指纹/不易显脏,品牌可信/品质稳定,耐用不易坏,轻薄便携,价格合适/性价比高,材质手感好,防摔防磕/保护性强,支架稳定/角度好用","材质手感好,轻薄便携,不易沾指纹/不易显脏,耐用不易坏,品牌可信/品质稳定,支架稳定/角度好用,价格合适/性价比高,防摔防磕/保护性强",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"品牌/品质感较好,保护性较好,磁吸拆分方便,可旋转使用",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,肯定会购买,-,-,不需要笔槽,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,肯定会购买,-,-,外观感觉有点乱,12.91s,升级光面款,要简单一点,经常会,女,25-30岁,企业职员,六线,偏低,未知,广西壮族自治区,玉林市
21,是,88898541,726476,1024659,"智能手表/手环,奶茶/咖啡,手机贴膜,T恤/裙子,平板电脑保护套/壳,洗面奶/洁面乳,手机充电线/数据线,室内绿植/花卉,手机壳,充电宝/移动电源,平板电脑,无线蓝牙耳机,洗衣液/洗衣凝珠,薯片/膨化食品,抽纸/卷纸,桌面收纳,运动鞋,贴片面膜",近13-24个月内,80–99元,主要由我自己决定，偶尔参考他人意见,Apple（苹果）,以上均无,均未参加过,本科,磁吸不可拆分保护套,"支架稳定/角度好用,材质手感好,耐用不易坏,防摔防磕/保护性强","防摔防磕/保护性强,支架稳定/角度好用,耐用不易坏,材质手感好",100-119元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付16-20元,可能会购买,可能会购买,说不清,-,-,保护性更好了，笔槽设计更实用，配色也可以选自己更喜欢的,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [一般];微磨砂质感: [一般];相比普通光面背板更不易沾指纹: [一般];整体看起来更特别/更有设计感: [一般],愿意多付5元以内,可能会购买,说不清,-,-,-,在性能和实用性上并没有特别大的提升,27.5s,升级光面款,更实用，性价比比较高,有时会,女,31-35岁,企业职员,一线,偏低,"准备结婚期,育婴期",上海,上海市
22,是,88898554,726476,1024659,"平板电脑,无线蓝牙耳机,抽纸/卷纸,充电宝/移动电源,鼠标/机械键盘,手机贴膜,手机充电线/数据线,手机壳,平板电脑保护套/壳,薯片/膨化食品,运动鞋,洗衣液/洗衣凝珠,贴片面膜,T恤/裙子,洗面奶/洁面乳,奶茶/咖啡,桌面收纳,智能手表/手环,室内绿植/花卉",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"旋转可拆分磁吸保护套,键盘保护套,带笔槽保护套","支架稳定/角度好用,触控笔收纳和拿取方便,与平板搭配协调,外观好看/有设计感,防摔防磕/保护性强,轻薄便携","与平板搭配协调,防摔防磕/保护性强,支架稳定/角度好用,外观好看/有设计感,触控笔收纳和拿取方便,轻薄便携",150-199元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"磁吸拆分方便,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,可以有效防护苹果摔坏 而且笔槽很方便携带 配色新颖,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,肯定会购买,-,-,可以很好防指纹 而且设计很特别 质感很好,18.39s,光栅款,设计感更好 而且可以防指纹 不需要经常擦拭干净 可以加钱购买,经常会,女,25-30岁,企业职员,三线,偏低,未知,福建省,莆田市
23,是,88898573,726476,1024659,"奶茶/咖啡,薯片/膨化食品,平板电脑,手机贴膜,洗面奶/洁面乳,室内绿植/花卉,运动鞋,充电宝/移动电源,桌面收纳,贴片面膜,手机壳,平板电脑保护套/壳,鼠标/机械键盘,抽纸/卷纸,无线蓝牙耳机,T恤/裙子,智能手表/手环,洗衣液/洗衣凝珠,手机充电线/数据线",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,磁吸不可拆分保护套,带笔槽保护套,透明/半透明保护壳","触控笔收纳和拿取方便,颜色选择丰富,品牌可信/品质稳定,材质手感好,轻薄便携","材质手感好,颜色选择丰富,品牌可信/品质稳定,触控笔收纳和拿取方便,轻薄便携",120-149元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"磁吸拆分方便,价格合适,外观看起来简洁,品牌/品质感较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [一般];更丰富、更个性化的配色选择: [比较吸引],愿意多付11-15元,可能会购买,可能会购买,可能会购买,-,-,功能造型,我已认真阅读,购买意愿: [说不清],光栅纹理背板的视觉效果: [一般];微磨砂质感: [一般];整体看起来更特别/更有设计感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,说不清,-,-,没什么特别,10.13s,光栅款,看造型,有时会,女,25-30岁,自由职业/个体经营,五线,中等,"已婚,育婴期,已育",广东省,揭阳市
